gameLabel,source,target,weight
BanG Dream,UC-Q1OUboEKyyo6-mnNPPK6A,UCoUj3NvRfDlC2E-onssc9eg,1
BanG Dream,UC-VD2FHa0aMTaVYYj6CDjOw,UCvZgbDxbb2bo7ZVEVLRoWeQ,1
BanG Dream,UC-XQ4RHvp35yGrSu0W_RQBw,UCgT1gpbW95g6XGHC7HufwqQ,1
BanG Dream,UC-YlLJOzgWDr9AqgQtTfhHg,UCkPVTVbDJOfcElzpPfHskFQ,1
BanG Dream,UC-ZSPF_fqGEKM1FL-1oksow,UC-64tAzPzaAqdRRlGSpBvpA,1
BanG Dream,UC-ZSPF_fqGEKM1FL-1oksow,UCL8DmSJycogLYJXRq8uWkOw,1
BanG Dream,UC-ZSPF_fqGEKM1FL-1oksow,UCtcG6JI5N4kH_30vLRXgFxA,1
BanG Dream,UC-ZSPF_fqGEKM1FL-1oksow,UCvZgbDxbb2bo7ZVEVLRoWeQ,1
BanG Dream,UC-anzgjOjm2BvJSP0w9BsKg,UCMvITxxfSZz0pJz2KGIxG9Q,1
BanG Dream,UC-bmxC6LMC8vkCq5t170zoA,UCDb8Mcd3XN6CFMc7fp5UpRg,1
